acc_z
10.475
10.587
10.436
10.536
10.421
10.605
10.468
10.551
10.32
10.495
10.415
10.468
10.638
10.497
10.291
9.987
9.862
9.927
10.386
10.523
10.622
10.456
10.6
10.312
10.151
10.411
10.714
10.446
10.394
10.68
10.596
10.307
9.986
10.158
10.457
10.569
10.863
10.791
10.669
10.374
10.305
10.401
10.683
10.768
10.733
10.571
10.401
10.503
10.573
10.735
10.709
10.879
10.943
10.831
10.709
10.662
10.724
10.602
10.652
10.698
10.852
10.672
10.699
10.835
10.856
10.857
10.994
11.07
11.212
11.128
11.02
10.829
10.744
10.75
10.794
10.749
10.745
10.683
10.73
10.746
10.745
10.476
10.469
10.705
10.857
10.794
10.861
10.678
10.605
10.267
10.09
10.308
10.365
10.206
10.046
9.845
9.98
10.373
10.491
10.597
10.512
10.176
9.813
10.099
10.161
10.354
10.523
10.388
10.577
10.71
11.096
11.127
11.071
10.866
10.704
10.426
10.145
10.1
10.361
10.777
10.915
11.137
10.95
10.929
10.925
10.332
10.467
10.78
11.023
10.802
10.402
10.198
11.176
10.806
10.355
10.105
10.317
10.396
10.829
10.263
10.244
10.323
10.447
10.467
10.25
10.273
10.173
10.548
10.312
10.217
10.232
10.306
10.497
10.879
10.987
10.699
10.68
10.392
10.27
10.074
10.152
10.411
10.365
10.415
10.146
10.482
10.34
10.585
10.266
10.305
10.446
10.839
10.442
10.572
10.646
10.542
10.082
9.759
9.901
9.947
10.133
10.409
10.617
10.498
10.395
10.565
10.501
10.146
9.908
9.818
9.902
9.814
9.774
9.778
9.988
10.17
10.46
10.482
10.093
9.732
10.147
10.196
9.993
10.178
10.093
10.312
10.278
10.115
10.23
10.413
10.164
10.027
10.047
10.165
10.409
10.456
10.353
10.232
10.312
10.168
10.224
10.405
10.465
10.418
10.375
10.258
10.363
10.346
10.378
10.366
10.124
10.399
10.432
10.215
10.064
10.329
10.482
10.312
10.228
10.004
10.165
10.195
10.207
10.249
10.17
10.132
10.276
10.329
10.429
10.323
10.364
10.395
10.194
10.313
10.184
10.236
10.452
10.338
10.433
10.335
10.335
10.301
10.391
10.416
10.266
10.251
10.176
10.26
10.187
10.216
10.372
10.386
10.398
10.453
10.493
10.48
10.532
10.569
10.579
10.416
10.235
10.062
10.016
9.896
10.17
10.174
10.282
10.4
10.606
10.513
10.052
10.103
10.179
10.161
9.891
10.03
10.057
10.183
10.151
10.12
10.183
10.24
10.314
10.393
10.491
10.191
10.275
10.045
10.009
10.14
10.131
10.324
10.283
10.277
10.373
10.344
10.349
10.357
10.192
10.214
10.363
10.108
10.108
10.187
10.376
10.21
10.282
10.155
10.253
10.181
9.903
9.995
10.036
10.064
10.195
10.062
10.184
10.397
10.433
10.218
10.119
10.304
10.288
10.218
10.404
10.282
10.333
